category,example,description,phoneme_char
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),NULL,لا يؤثر حرف الفاء في المصدر الميمي وصيغ المبالغة، لكنه قد يظهر في الجذر أو الوزن الذي يتشكل منه المصدر أو المبالغة.,ف
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),NULL,لا يؤثر حرف الفاء في تكوين اسم الفاعل والمفعول، إنما يُعد جزءًا من الجذر أو الوزن الذي تصاغ منه الصيغة.,ف
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),NULL,لا يؤثر حرف الفاء في اسم الزمان واسم المكان، لكنه قد يظهر في الجذر أو الوزن الذي تُصاغ منه هاتان الصيغتان.,ف
تأثيره على الكلمة ( من حيث البناء والإعراب ),*,لا يؤثر حرف القاف على الكلمة من حيث البناء والإعراب.,ق
الموقع الإعرابي للحرف,*,لا محل له من الإعراب دائمًا .,ق
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,لا يؤثر حرف القاف وحده في التذكير أو التأنيث.,ق
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا يؤثر,ق
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,لا يؤثر,ق
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا دور له في النسب والتصغير.,ق
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,لا دور له في تكوين المصدر الميمي أو صياغة المبالغة.,ق
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا يؤثر القاف في صياغة اسم الفاعل واسم المفعول.,ق
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,الحرف القاف لا يغيّر قواعد اشتقاق اسم الزمان والمكان.,ق
تأثيره على الكلمة ( من حيث البناء والإعراب ),رأيته كالغزالِ,الكاف يستخدم في الأسماء، ويؤثر على الإعراب فيكون حرف جرّ يغير الموقع الإعرابي للاسم وحركته,ك
الموقع الإعرابي للحرف,*,لا محل له من الإعراب,ك
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),"رأيتكَ ( بالفتح للمكر )
رأيتكِ  ( بالكسر للمؤنث )",حرف الكاف ( في صيغة الخطاب ) يؤثر في التذكير والتأنيث، حسب الضبط وبنية الكلمة,ك
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا دور له,ك
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,لا دور له,ك
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا دور له,ك
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,لا دور له,ك
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا دور له,ك
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,لا دور له,ك
دور الحرف النحوي عند دخوله على الكلمة,محمدٌ كالأسدِ في إقدامه .,يدخل حرف الكاف (كحرف جر يفيد التشبيه) على الأسماء ويجرها فيصبح الاسم بعدها مجرورا بحرف الجر الكاف .,ك
تأثيره على الكلمة ( من حيث البناء والإعراب ),"لَيفعلنَّ (لام التوكيد)
لِلرياضة فوائد عديدة",اللام تُستخدم في الأفعال والأسماء، وتؤثر على الإعراب. تأتي أحيانًا كـ لام التوكيد أو لام التعليل، فتُغيّر موقع الإعراب أو تؤكده وقد تأتي كحرف جر .,ل
الموقع الإعرابي للحرف,*,لا محل له من الإعراب دائمًا كحرف في بنية الكلمة.,ل
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),NULL,لا تؤثر اللام وحدها في التأنيث والتذكير.,ل
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا دور له,ل
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,لا دور له,ل
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),NULL,لا دور له,ل
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,لا دور له,ل
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),"كاتب (فاعل)، مكتوب (مفعول)
لاعب (اسم فاعل)، ملعون (اسم مفعول)",قد تظهر اللام في أوزان اسم الفاعل والمفعول (لام الفعل) بحسب الأفعال التي تُشتق منها هذه الأسماء دون دور نحوي مستقل.,ل
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),"مطلع الشمس (اسم زمان)
مهبط الطائرة (اسم مكان)",تدخل اللام في أوزان أسماء الزمان والمكان، سواء كانت ضمن الجذر أو الصيغة، دون أن تكون علامة خاصة على الزمان أو المكان.,ل
تأثيره على الكلمة ( من حيث البناء والإعراب ),*,الميم قد تكون أصلية أو زائدة.,م
الموقع الإعرابي للحرف,*,لا محل له من الإعراب دائمًا .,م
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير ),*,لا دور لحرف الميم,م
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية ),*,لا دور لحرف الميم,م
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي ),*,لا دور لحرف الميم,م
دور الحرف النحوي في الكلمة من حيث ( النّسب - التّصغير ),NULL,لا دور لحرف الميم,م
دور الحرف النحوي في الكلمة ( المصدر الميمي - صيغ المبالغة ),مَضرَب (مصدر ميمي)، مِقدام (صيغة مبالغة),تدخل الميم في صيغة المصدر الميمي وصيغ المبالغة.,م
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول ),كَلَّمَ → مُكَلِّم (اسم فاعل)، مُكَلَّم (اسم مفعول). مُجتهد (اسم فاعل)، مكتوب (اسم مفعول),تدخل في اشتقاقات أسماء الفاعل والمفعول، حيث تبدأ بها وتدل على الفاعلية أو المفعولية.,م
دور الحرف النحوي في الكلمة من حيث ( الزمان - المكان ),موعد (زمان)، موقف (مكان),تدخل الميم في صيغ المفعول للدلالة على الزمان والمكان.,م
تأثيره على الكلمة ( من حيث البناء والإعراب ),"يكتبُ → يكتبنَ
لا تكتبنَّ
هما يكتبان
يحفظُني (نون الوقاية)",النون قد تكون جزءًا غير أصيل (زائد) في الكلمة لأغراض نحوية أو صرفية، أو علامة إعرابية (نون التوكيد، نون النسوة، نون الوقاية، نون الأفعال الخمسة، إلخ).,ن
الموقع الإعرابي للحرف,*,لا محل له من الإعراب دائمًا .,ن
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير ),هو يكتبُ - هنّ يكتبنَ,نون النسوة: ضمير متصل يستخدم للدلالة على جمع الإناث، بينما لا تؤثر النون المذكرة.,ن
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية ),يشربُ → يشربون (جمع) - يشربان (تثنية) - مهندس → مهندسون (جمع) - مهندسان (تثنية),تأتي النون ملحقة بواو الجماعة للدلالة على الجمع وبألف الاثنين للدلالة على المثنى، للأفعال والأسماء.,ن
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي ),كسرَ (متعدٍّ) → انكسَرَ (لازم),تحول الفعل من متعدٍ إلى لازم عند صيغة المطاوعة (انفعل). مثال: كسرَ → انكسَرَ.,ن
دور الحرف النحوي في الكلمة من حيث ( النّسب - التّصغير ),*,لا تُستخدم النون علامةً مباشرة للتصغير .,ن
دور الحرف النحوي في الكلمة ( المصدر الميمي - صيغ المبالغة ),*,لا دور له,ن
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول ),"مُنكَسِر = اسم فاعل
مُنكسَر عنه = اسم مفعول",تظهر النون في بعض صيغ اسم الفاعل والمفعول كحرف زائد أو أصيل، فتؤثر في بنية التصريف دون تغيير المعنى النحوي الأساسي.,ن
دور الحرف النحوي في الكلمة من حيث ( الزمان - المكان ),منزل - منبع - منجم,تظهر النون في اسم المكان (أو الزمان) كحرف أصلي غير زائد، للدلالة على موضع أو وقت مُعيَّن.,ن
تأثيره على الكلمة ( من حيث البناء والإعراب ),"أكرمتُهُ (ضمير متصل في محل مفعول به)
هو قائمٌ (ضمير منفصل في محل مبتدأ)",الهاء تأتي غالبًا كضمير متصل أو منفصل، وهي مبنية دائمًا. لا تغيّر بنية الكلمة من حيث البناء أو الإعراب، لكن قد تشغل موقعًا إعرابيًا مختلفًا تبعًا للسياق.,ه
الموقع الإعرابي للحرف,"رأيتهُ (في محل نصب مفعول به)
كتابهُ جميلٌ (في محل جر مضاف إليه)
هو طالبٌ (في محل رفع مبتدأ)",الهاء قد تأتي ضميرًا متصلًا في محل رفع أو نصب أو جر حسب السياق، خاصة عندما تكون ضميرًا غائبًا.,ه
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير ),*,لا دور له,ه
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية ),*,لا دور له,ه
دور الحرف النحوي في الكلمة من حيث ( االلزوم - التّعدي ),*,لا دور له,ه
دور الحرف النحوي في الكلمة من حيث ( النّسب - التّصغير ),*,لا دور له,ه
دور الحرف النحوي في الكلمة ( المصدر الميمي - صيغ المبالغة ),*,لا دور له,ه
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول ),*,لا دور له,ه
دور الحرف النحوي في الكلمة من حيث ( الزمان - المكان ),*,لا دور له,ه
تأثيره على الكلمة (من حيث البناء والإعراب),"حضر محمد و فهد (الواو حرف عطف)
فهد: اسم معطوف",تؤثر الواو في البناء والإعراب حسب نوعها (عطف، حال، قسم...). قد تجزم أو ترفع حسب السياق، أو تعمل على ربط المعطوف بالمعطوف عليه.,و
الموقع الإعرابي للحرف,*,لا محل له من الإعراب دائمًا .,و
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),_______,ليس لها دور نحوي بالتذكير والتأنيث.,و
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),"مهندس → مهندسون
ممرض → ممرضون",تأتي الواو علامة رفع لجمع المذكر السالم في الأسماء والأفعال (عند الأفعال الخمسة)، لكنها لا علاقة لها بالتثنية.,و
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),وقف، وقع، وزن,ليس للواو دور في اللزوم أو التعدي.,و
دور الحرف النحوي في الكلمة من حيث (النّسب - التصغير),*,ليس لها دور واضح في النسب أو التصغير.,و
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,ليس للواو دور نحوي في تكوين المصدر الميمي أو صيغ المبالغة.,و
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا دور مميز للواو؛ تظهر فقط بوصفها جزءًا من الجذر أو مشتقة منه دون أن تؤثر نحويًا.,و
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,ليس للواو دور في اشتقاق أسماء الزمان أو المكان.,و
تأثيره على الكلمة ( من حيث البناء والإعراب ),لَدَيّ، عَلَيَّ، بِيَدَيَّ، يَجْنِي، بِأَبِيك,الإعراب عند النحاة هو أثر ظاهر أو مقدر يجلبه العامل في أواخر الكلمات المعربة. ويمكن أن تكون الياء علامة إعراب في بعض المواضع المنقوصة، أو تظهر كسرة مقدرة مثل في الفعل (يجني) واسم المضاف إلى ياء المتكلم (قلمي).,ي
الموقع الإعرابي للحرف,*,لا محل له من الإعراب,ي
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير ),*,الياء لا تؤثر على الكلمة من حيث التأنيث والتذكير.,ي
دور الحرف النحوي في الكلمة من حيث ( الجمع - التثنية ),*,لا يؤثر,ي
دور الحرف النحوي في الكلمة من حيث ( االلزوم - التّعدي ),*,لا يؤثر,ي
دور الحرف النحوي في الكلمة من حيث ( النّسب - التّصغير ),"قرد → قُرَيْدٌ
خندق → خُنَيْدِقٌ
قنديل → قُنَيْدِيلٌ
مصريّ (نسبة إلى مصر)",في التصغير يُضاف حرف الياء إلى بنية الكلمة في الأوزان (فُعَيْل، فُعَيْعِل، فُعَيْعِيل)، كما تُستخدم ياء النسب (ياء مشددة) للدلالة على الانتماء، مثل مصريّ من مصر.,ي
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة ),*,لا يؤثر,ي
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),رَجَي - رَاجٍِ -مرجيّ// شَكِي - شَاكٍِ -مشكيّ// نجى - نَاجٍِ -منجيّ// قضى -قَاضٍِ-مقضيّ // بَاعَ - بائع -مَبِيع // سَعَى -ساعٍ- مَسْعِيّ,إذا كان الفعل الثلاثي معتلَّ الوسط أو الآخر بحرف علة، تُقلب حرف العلة لياء عند اشتقاق اسم الفاعل (صام → صائم، ذاع → ذائع). أما إذا كان الفعل منتهيًا بحرف علة آخره ياء (رَجَي، شَكِي)، يصبح اسم الفاعل (راجٍ، شاكٍ). وتحذف الياء عند الرفع أو الجر إذا كان نكرة (راجٍ)، وتبقى عند النصب أو التعريف (شاكياً، القاضي). في اسم المفعول أيضاً تظهر الياء من بنية الكلمة (بنى → مبنيّ، سعى → مسعيّ، باع → مبيع).,ي
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان ),بَيْت( اسم مكان ) // اللَيْل( اسم زمان ),حرف الياء لا يؤثر على دلالة الزمان أو المكان مباشرة؛ إنما يكون جزءًا من بنية الكلمة مثل بيت (اسم مكان) أو الليل (ظرف زمان).,ي
تأثيره على الكلمة ( من حيث البناء والإعراب ),"أنا، متى، هذا
""الفَتَى""، ""العَصَا""
الفَتَى مُجتهدٌ (مرفوع بضمة مقدرة)
رَأيتُ الفتى (منصوب بفتحة مقدرة)
مَرَرتُ بالفتى (مجرور بكسرة مقدرة)
فَتَى → فَتَيان
عَصَا → عَصَوان (رفع) وعَصَوين (نصب وجر)
دَعَا، سَعَى، بَنَى
لمْ يَسعَ (حذف الألف للجزم)
لا تدعُ إلى","حرف الألف يؤثر على الكلمة من حيث البناء والإعراب، وذلك حسب موقعه في الكلمة ونوع الكلمة التي يظهر فيها. في الأسماء المبنية مثل ""أنا""، ""متى""، ""هذا"" لا تؤثر الألف في الإعراب لأنها مبنية. أما في الأسماء المقصورة مثل ""الفتى""، ""العصا""، فتُقدَّر الحركات على الألف منعًا من ظهورها للتعذّر. وعند التثنية، تتحول الألف إلى ياء أو واو (حسب الأصل) في كلمات مثل ""فتى"" (فتيان) و""عصا"" (عصوان/عصوين). 

بالنسبة للأفعال المعتلة بالألف (الناقص والأجوف)، يظهر تأثير الألف في الإعراب من خلال حذفها في حالة الجزم والأمر: لم يسعَ، لا تدعُ، اسعَ. وفي حالتي الرفع والنصب تبقى الألف: يسعى، لن يسعى. أما الحروف المحتوية على الألف فلا يؤثر فيها لأنها مبنية. باختصار، الألف تؤثر في البناء والإعراب، خاصة في الأسماء المقصورة والأفعال المعتلة، حيث تمنع ظهور الحركات الإعرابية أو تؤدي إلى حذفها في بعض الحالات.",ا
الموقع الإعرابي للحرف,NULL,لا محل له من الإعراب دائمًا .,ا
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير ),كُبْرَى ، حَبْلَى، سَلْوَى، ذِكْرَى,حرف الألف من علامات التأنيث في الاسم .,ا
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),"طَالِب → طَالِبَان
كِتَاب → كِتَابَان
طَالِبَة → طَالِبَات
مُعَلِّمَة → مُعَلِّمَات",حرف الألف له دور نحوي مهم في الجمع والتثنية، ويظهر تأثيره في عدة مواضع. على سبيل المثال، في حالة التثنية، تكون الألف علامة الرفع: طالب → طالبان، كتاب → كتابان، وفي حالتي النصب والجر يُقلب حرف الألف إلى ياء: طالبين، كتابين. أما في جمع المؤنث السالم، فيُضاف ألف وتاء للكلمة عند جمعها: طالبة → طالبات، معلمة → معلمات.,ا
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),"طَال، رَاحَ، اغْتَدَى، انْصَرَفَ، انْفَلَجَ
احْمَرّ، اسْوَدَّ، ابْيَضَّ، اصْفَرَّ
سَافَرْتُ إلى الشَامِ",الفعل اللازم هو ما يكتفي بفاعله ولا ينصب مفعولًا به، مثل: طال، راح، احمرّ، اسودّ. أما الفعل المتعدي فيحتاج إلى مفعول به، مثل: سافرتُ إلى الشام (مع جرّ بالحرف). وجود حرف الألف في بعض الأفعال اللازمة أو المتعدية قد يكون من بنية الفعل، لكنه لا يغيّر من كونه لازمًا أو متعديًا.,ا
دور الحرف النحوي في الكلمة من حيث (النّسب - التصغير),"صَحْرَاء → صَحْرَاوِيّ
بِنَاء → بِنَائِيّ
فَتَى → فَتَوَيّ
دَعَا → دِعَائِيّ
سَمَا → سَمَاوِيّ
صَحْرَاء → صُحَيْرَاء
حَمْرَاء → حُمَيْرَاء
عَصَا → عُصَيَّة
دَعَا → دُعَيٌّ","في النّسب، إذا كانت الألف زائدة (مثل ألف التأنيث الممدودة أو المقصورة)، تُقلب ياءً عند النسب: صحراء → صحراويّ، بناء → بنائيّ. أما إذا كانت الألف أصلية، فتبقى كما هي: دعا → دعائيّ، سما → سماويّ.

في التصغير، الألف الزائدة تُقلب واوًا في الغالب: صحراء → صُحيراء، حمراء → حُميراء. وإذا كانت الألف أصلية، فقد تُحذف أو تُقلب حسب القواعد: عصا → عُصَيَّة، دعا → دُعَيٌّ.",ا
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),"مَقال (من قَال)
مَآب (من آب)
مَقام ← من ""قَام""
مَسار ← من ""سَار""
فَعّال: غفّار، ضرّاب، همّام
مِفعال: مِقْدَام، مِعْطَاء، مِسْعَاف",في المصدر الميمي، قد تكون الألف جزءًا أصليًا من الجذر اللغوي، مثل: مَقال (من قال)، مَآب (من آب)، وقد تكون حرف علة يُقلب أو يُحذف في أثناء التصريف، مثل: مَقام (من قام)، مَسار (من سار). أما في صيغ المبالغة، فقد تظهر الألف كعنصر أصلي في الجذر أو كجزء من الوزن، مثل: فَعّال (غفّار)، مِفعال (مِقْدَام، مِعْطَاء).,ا
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),"كَتَبَ = كَاتِب
دَرَسَ = دارِس
عَمِلَ = عَامِل",يظهر حرف الألف غالبًا في بناء اسم الفاعل للفعل الثلاثي، حيث يُضاف بعد حرفه الأول، مثل: كتب → كاتب، درس → دارس، عمل → عامل. في اسم المفعول (مكتوب، مدروس، معمول)، قد يختلف موقع الألف تبعًا لبنية الفعل وأصل حروفه، لكن دوره يرتبط بتشكيل الصيغة؛ فإذا كان الفعل أجوف أو ناقصًا، قد تحدث تغييرات في موضع الألف أو في شكلها.,ا
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),"طَالَ (يمتد الحدث)
دَامَ (إيحاء بالدوام)
نَامَ (فعل يحدث خلال فترة)
صَحْرَاء (مكان واسع)
فَضَاء (يوحي بالامتداد)
بِحَار (توحي بالامتداد المكاني الشاسع)
سَارَ (التحرك لمسافة)
غَابَ (يوحي بالبعد)",يسهم حرف الألف في إطالة النطق، فيوحي أحيانًا بامتداد الزمن، مثل: طال (يدل على استمرار الحدث)، دام (استمرار طويل). وكذلك قد يُعطي إيحاء بالاتساع المكاني، مثل: صحراء، فضاء (أماكن واسعة). كما توحي الألف بالبعد أو الانتشار في أفعال مثل: سار (التحرك لمسافة طويلة)، غاب (الابتعاد أو الاختفاء).,ا
