مُفْتَعِلُون	claude	CVCCVCVCVVC	C-Vo-C-C-Va-C-Vi-C-Vo-Vo-C	CVoCCVaCViCVoVoC			
مُنْفَعِلَة	claude	CVCCVCVCVC	C-Vo-C-C-Va-C-Vi-C-Va-C	CVoCCVaCViCVaC			
مُنْفَعِلُون	claude	CVCCVCVCVVC	C-Vo-C-C-Va-C-Vi-C-Vo-Vo-C	CVoCCVaCViCVoVoC			
اسْتِفْعَالَات	claude	VVCCVCCVVCVVC	Va-C-C-Vi-C-C-Va-Va-C-Va-Va-C	VaVaCCViCCVaVaCVaVaC			
مُتَفَاعِلَات	claude	CVCVCVVCVCVVC	C-Vo-C-Va-C-Va-Va-C-Vi-C-Va-Va-C	CVoCVaCVaVaCViCVaVaC			
مُتَفَعِّلَات	claude	CVCVCVCCVCVVC	C-Vo-C-Va-C-Va-C-C-Vi-C-Va-Va-C	CVoCVaCVaCCViCVaVaC			
مُسْتَفْعَلَات	claude	CVCCVCCVCVVC	C-Vo-C-C-Va-C-C-Va-C-Va-Va-C	CVoCCVaCCVaCVaVaC			
مُسْتَفْعِلَات	claude	CVCCVCCVCVVC	C-Vo-C-C-Va-C-C-Vi-C-Va-Va-C	CVoCCVaCCViCVaVaC			
افْعَلَّ	user_extras	VVCCVCCV	Va-C-C-Va-C-C-Va	VaVaCCVaCCVa			
افْعَوَّلَ	user_extras	VVCCVCCVCV	Va-C-C-Va-C-C-Va-C-Va	VaVaCCVaCCVaCVa			
افْعَالَّ	user_extras	VVCCVVCCV	Va-C-C-Va-Va-C-C-Va	VaVaCCVaVaCCVa			
تَفَعْلَلَ	user_extras	CVCVCCVCV	C-Va-C-Va-C-C-Va-C-Va	CVaCVaCCVaCVa			
افْعَنْلَلَ	user_extras	VVCCVCCVCV	Va-C-C-Va-C-C-Va-C-Va	VaVaCCVaCCVaCVa			
فاعِل	user_extras	CVVCVC	C-Va-C-Vi-C	CVaVaCViC			
فَعُولٌ	user_extras	CVCVVCV	C-Va-C-Vo-Vo-C-Vo-C	CVaCVoVoCVo			
مُفعِل	user_extras	CVCCVC	C-Vo-C-C-Vi-C	CVoCCViC			
مُفعَل	user_extras	CVCCVC	C-Vo-C-C-Va-C	CVoCCVaC			
فاعِل (منقوص)	user_extras	CVVCVCCCCCCCCC	C-Va-C-Vi-C-C-C-C-C-C-C-C-C	CVaVaCViCCCCCCCCC			
فاعِل (همزة)	user_extras	CVVCVCCCCCCCC	C-Va-C-Vi-C-C-C-C-C-C-C-C	CVaVaCViCCCCCCCC			
مُفتعِل	user_extras	CVCCCVC	C-Vo-C-C-C-Vi-C	CVoCCCViC			
مُفتعَل	user_extras	CVCCCVC	C-Vo-C-C-C-Va-C	CVoCCCVaC			
فَعَى	missing	CVaCVa	C-Va-C-Va	CVaCVa			
يَفْعَى	missing	CVaCCVa	C-Va-C-C-Va	CVaCCVa			
فَعِيَ	missing	CVaCViCVa	C-Va-C-Vi-C-Va	CVaCViCVa			
أُفْعِلَ	missing	VoCCViCVa	Vo-C-C-Vi-C-Va	VoCCViCVa			
فُعِّلَ	missing	CVoCCViCVa	C-Vo-C-C-Vi-C-Va	CVoCCViCVa			
فَعَلْنَا	missing	CVaCVaCCVaC	C-Va-C-Va-C-C-Va-C	CVaCVaCCVaC			
فَعَلُوا	missing	CVaCVaCVoC	C-Va-C-Va-C-Vo-C	CVaCVaCVoC			
فَعَلَتْ	missing	CVaCVaCVaC	C-Va-C-Va-C-Va-C	CVaCVaCVaC			
فَعَّ	missing	CVaCC	C-Va-C-C	CVaCC			
يَفِعُّ	missing	CVaCViCC	C-Va-C-Vi-C-C	CVaCViCC			
يَفُعُّ	missing	CVaCVoCC	C-Va-C-Vo-C-C	CVaCVoCC			
فَعَالٌ	missing	CVaCVaVaC	C-Va-C-Va-Va-C	CVaCVaVaC			
فِعَالٌ	missing	CViCVaVaC	C-Vi-C-Va-Va-C	CViCVaVaC			
فُعَالٌ	missing	CVoCVaVaC	C-Vo-C-Va-Va-C	CVoCVaVaC			
فَعِيلٌ	missing	CVaCViViC	C-Va-C-Vi-Vi-C	CVaCViViC			
فُعُولٌ	missing	CVoCVoVoC	C-Vo-C-Vo-Vo-C	CVoCVoVoC			
فَعْلٌ	missing	CVaCC	C-Va-C-C	CVaCC			
فِعْلٌ	missing	CViCC	C-Vi-C-C	CViCC			
فُعْلٌ	missing	CVoCC	C-Vo-C-C	CVoCC			
فَعَلَا	missing	CVaCVaCVa	C-Va-C-Va-C-Va	CVaCVaCVa			
يَفْعَلَا	missing	CVaCCVaCVa	C-Va-C-C-Va-C-Va	CVaCCVaCVa			
فَعَلْتُ	missing	CVaCVaCCVo	C-Va-C-Va-C-C-Vo	CVaCVaCCVo			
فَعَلْتَ	missing	CVaCVaCCVa	C-Va-C-Va-C-C-Va	CVaCVaCCVa			
فَعَلْتِ	missing	CVaCVaCCVi	C-Va-C-Va-C-C-Vi	CVaCVaCCVi			
فَعَلْتُمْ	missing	CVaCVaCCVoC	C-Va-C-Va-C-C-Vo-C	CVaCVaCCVoC			
فَعِلْنَا	missing	CVaCViCCVaC	C-Va-C-Vi-C-C-Va-C	CVaCViCCVaC			
أَفْعَلْنَا	missing	CVaCCVaCCVaC	C-Va-C-C-Va-C-C-Va-C	CVaCCVaCCVaC			
أَفْعَلُوا	missing	CVaCCVaCVoC	C-Va-C-C-Va-C-Vo-C	CVaCCVaCVoC			
فَعَّلْنَا	missing	CVaCCVaCCVaC	C-Va-C-C-Va-C-C-Va-C	CVaCCVaCCVaC			
فَعَّلُوا	missing	CVaCCVaCVoC	C-Va-C-C-Va-C-Vo-C	CVaCCVaCVoC			
تَفَعَّلْنَا	missing	CVaCVaCCVaCCVaC	C-Va-C-Va-C-C-Va-C-C-Va-C	CVaCVaCCVaCCVaC			
مُفْعِلٌ	missing	CVoCCViC	C-Vo-C-C-Vi-C	CVoCCViC			
مُفَعِّلٌ	missing	CVoCVaCCViC	C-Vo-C-Va-C-C-Vi-C	CVoCVaCCViC			
أَفْعَلَ	form_iv	CVCCVCV	ʔa-C-C-Va-C-Va	ʔaCCVaCVa			
أَفْعَلُوا	form_iv	CVCCVCVV	ʔa-C-C-Va-C-Voo	ʔaCCVaCVoo			
أَفْعَلْنَا	form_iv	CVCCVCCVV	ʔa-C-C-Va-C-C-Vaa	ʔaCCVaCCVaa			
أَفْعَلْتُ	form_iv	CVCCVCCV	ʔa-C-C-Va-C-C-V	ʔaCCVaCCV			
أَفْعَلْتُمْ	form_iv	CVCCVCCVC	ʔa-C-C-Va-C-C-V-C	ʔaCCVaCCVC			
يُفْعِلُ	form_iv	CVCCVCV	yo-C-C-Vi-C-Vo	yoCCViCVo			
يُفْعِلُونَ	form_iv	CVCCVCVVCV	yo-C-C-Vi-C-Voo-C-Va	yoCCViCVooCVa			
تُفْعِلُ	form_iv	CVCCVCV	to-C-C-Vi-C-Vo	toCCViCVo			
نُفْعِلُ	form_iv	CVCCVCV	no-C-C-Vi-C-Vo	noCCViCVo			
أُفْعِلُ	form_iv	CVCCVCV	ʔo-C-C-Vi-C-Vo	ʔoCCViCVo			
مُفْعِلٌ	form_iv	CVCCVC	mo-C-C-Vi-C	moCCViC			
مُفْعَلٌ	form_iv	CVCCVC	mo-C-C-Va-C	moCCVaC			
إِفْعَالٌ	form_iv	CVCCVVC	ʔi-C-C-Vaa-C	ʔiCCVaaC			
أَفْعِلْ	form_iv	CVCCVC	ʔa-C-C-Vi-C	ʔaCCViC			
