category,description,example,notes,phoneme_char
أثره على الإيحاءات العاطفية والنفسية في السّياق,ليس للضاد دورًا أساسيًا في الإيحاءات العاطفية أو النفسية؛ تعتمد على دلالة الكلمة نفسها.,*,NULL,ض
التحوّل في معنى الكلمة,الطاء حرف جذري يُغير المعنى بالكامل بتغيير موقعه أو دخوله في الجذر و يصنع فرقًا دلاليًا في الكلمات المتشابهة,طَبَعَ ⬅بمعنى ختم / طَبِع ⬅خُلُق /طَبُعَ ⬅حسن خلقه,NULL,ط
التحوّل في دلالة الزمن ( الطلب - النفي- الاستمرارية - التحذير ),"الطاء تظهر في صيغ الأمر غالبًا ما تضفي نبرة حاسمة أو جادة بسبب طبيعتها الصوتية المفخمة , لا تستخدم في النفي و الاستمرارية , يمكن تستخدم في التحذير  و تضفي قوة في المعنى",اطبع اسمك,"""مثال عن الكلمات التحذيرية"" : طفيان , طعنة ""إياك و الطفيان""",ط
علاقته في التقديم والتأخير ( وأثر ذلك في المعنى وإثارة الانتباه ),قد تؤثر في إيقاع الجملة و معناها اذا تم التقديم و التأخير,التقديم : طفت مشاعر الفرح على الجميع,التأخير : في النهاية طفى الظلم على الحقيقة,ط
دوره في التوكيد ( لإبراز المعنى وتقويته ),لا دور له,*,NULL,ط
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),من خلال نغمتها الصوتية القوية و تأثيرها في التراكيب البلاغية مما يضفي قوة و شدة للإنكار في السياق,"ما طفى , و لا طَفَت قلوبهم",NULL,ط
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),تستخدم في التلاعب اللفظي لأنه حرف قوي  و تدخل في الجناس حيث يضيف نغمة واضحة في السجع و التكرار,"طبع على قلبه , فساء طبْعُه",NULL,ط
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),"الطاء من الحروف المفخمة الثقيلة , و تضفي على النطق جزالة ووضوحًا","كلمات مثل : طريف , طموح , طائل","""تحمل رنينًا فصيحًا و مؤثرًا""",ط
أثره على الإيحاءات العاطفية والنفسية في السّياق,"صوت يترك أثرًا نفسيًا حادًا , فهو حرف يُثير بالاحساس بالحدة والخوف حسب السياق","طعن , طرد , طفى","""ألفاظ حادة نفسيًا و تُحدث توترًا للسامع""",ط
التحوّل في معنى الكلمة,لا يحدث تحولات دلالية في معناها عند اشتقاقها إلى كلمات,NULL,NULL,ظ
التحوّل في دلالة الزمن ( الطلب - النفي- الاستمرارية - التحذير ),لا يحدث تحولات دلالية لاعتباره جزءا من جذر الكلمة,*,NULL,ظ
علاقته في التقديم والتأخير ( وأثر ذلك في المعنى وإثارة الانتباه ),يمكن أن يؤثر على التركيز الدلالي في الجملة و حسب السياق,"ظلمت حقه , حقه ظلمته",NULL,ظ
دوره في التوكيد ( لإبراز المعنى وتقويته ),وجود حرف الظاء في بعض الكلمات قد يُضفي معنى قويًا أو يحمل طابعًا مشددًا,إن الظالم لا يفلح,NULL,ظ
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),قد يرد ضمن كلمات تدل على الإنكار,ما ظلمت أحد,NULL,ظ
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),يساعد في ظهور إيقاع لغوي مميز و تقابل معنوي قوي,"الظالم في ظلمه , و المظلوم في مظلة",NULL,ظ
دوره في الفصاحة والبيان( تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته ),"له دور واضح من ناحيتين أساسيتين : الصوت و التمييز الدلالي , ففي الفصاحة يجعل الكلمة واضحة و سليمة , في البيان يساهم في تصوير المعنى بدقة","في ظِلال العدل تزهر الحياة , و في ظلمة الظلم تذبل القلوب .",NULL,ظ
أثره على الإيحاءات العاطفية والنفسية في السّياق,يمكن أثره عن القسوة و الألم و السكينة و الحماية,"ظلم , ظلمة  / ظل , ظلال",NULL,ظ
التحوّل في معنى الكلمة,لا يؤثر على بنية الكلمة في المعنى لأنه يكون أصليًا؛ فهي تستمد معناها من الكلمة التي دخلت عليها.,*,NULL,ع
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يدخل حرف العين في النفي أو التحذير ولا يؤدي وظيفة زمنية خاصة.,*,NULL,ع
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),لا يتعلق حرف العين بالتقديم أو التأخير ولا يلفت الانتباه من هذه الجهة.,*,NULL,ع
دوره في التوكيد ( لإبراز المعنى وتقويته ),لا دور له,*,NULL,ع
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),ليس لحرف العين دور في الإنكار أو الدهشة إلا إذا اقتضى السياق.,NULL,NULL,ع
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),"يلعب حرف العين دورًا بارزًا في الجناس لما يحمله من صفات، كما في قول البحتري ""إذا العين راحت وهي عينٌ على الهوى..."" حيث العين الأولى للنظر والثانية بمعنى الجاسوس. ويُستخدم كذلك في السجع مثل: (الصوم حرمان مشروع، وتأديب بالجوع، وخشوع لله وخضوع).","قول البحتري: إذا العين راحت وهي عينٌ على الهوى...
(الصوم حرمان مشروع، وتأديب بالجوع...)",NULL,ع
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),لا دور له,*,NULL,ع
أثره على الإيحاءات العاطفية والنفسية في السّياق,ليس له دورًا أساسيًا في الإيحاءات العاطفية أو النفسية؛ ويعتمد ذلك على معاني الكلمات.,*,NULL,ع
التحوّل في معنى الكلمة,لا يؤثر على بنية الكلمة في المعنى لأنه يكون أصليًا، فهي تستمد معناها من التركيب العام.,*,NULL,غ
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يدخل حرف الغين في النفي أو التحذير، فلا يضطلع بوظيفة زمنية خاصة.,*,NULL,غ
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),لا يتعلق حرف الغين بالتقديم والتأخير، فلا يؤثر في لفت الانتباه أو تغيير الترتيب.,*,NULL,غ
دوره في التوكيد ( لإبراز المعنى وتقويته ),لا دور له,*,NULL,غ
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),لا دور له,*,NULL,غ
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),ليس له دور مباشر في المحسنات البديعية ولكنه قد يكون في بنية الكلمة التي يدخل فيها الجناس أو السجع.,*,NULL,غ
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),لا دور له,*,NULL,غ
أثره على الإيحاءات العاطفية والنفسية في السّياق,ليس له دورًا أساسيًا في الإيحاءات العاطفية أو النفسية؛ يعتمد الأمر على المعاني التي تحملها الكلمة.,*,NULL,غ
التحوّل في معنى الكلمة,تفيد الفاء الترتيب والتعقيب والسببية، وتأتي أحيانًا زائدة للتوكيد. يتضح ذلك في مواضع كثيرة من القرآن الكريم وتراكيب اللغة العربية.,"قال تعالى: ""ثُمَّ خَلَقْنَا النُّطْفَةَ عَلَقَةً فَخَلَقْنَا الْعَلَقَةَ مُضْغَةً فَخَلَقْنَا الْمُضْغَةَ عِظَامًا فَكَسَوْنَا الْعِظَامَ لَحْمًا""
قال تعالى: ""الَّذِي خَلَقَكَ فَسَوَّاكَ فَعَدَلَكَ""",NULL,ف
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يدخل حرف الفاء في النفي أو التحذير استقلالًا، إذ لا يؤدي وظيفة زمنية خاصة.,*,NULL,ف
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),لا يتعلق حرف الفاء بأسلوب التقديم أو التأخير؛ فلا يغير مواضع الكلمات من حيث شدّة لفت الانتباه.,*,NULL,ف
دوره في التوكيد ( لإبراز المعنى وتقويته ),حرف الفاء يربط بين الألفاظ ولكنه يضيف جانبًا دلاليًا لتوكيد المعنى وإبرازه، كما في التحذير والتنبيه؛ وهذا شائع في القرآن الكريم وفي الأساليب البلاغية.,"إنَّ مَعَ العُسْرِ يُسْرًا، فَإِنَّ مَعَ العُسْرِ يُسْرًا
لا تقترب من الظلم فعاقبته وخيمة!",NULL,ف
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),ليس لحرف الفاء دور مباشر في الإنكار أو إظهار الدهشة والاستغراب.,*,NULL,ف
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),يمكن أن يُستخدم حرف الفاء في بناء بعض الأشكال البلاغية كالجناس والسجع، لكن دوره ليس بقوة حروف أخرى مثل الشين. ومع ذلك قد يظهر في تركيب الجملة البلاغية لإبراز فوارق المعنى أو لإضفاء إيقاعٍ خاص.,"الفقرُ فقرُ الأخلاقِ، لا فقرُ الأموالِ. (جناس ناقص في المعنى بين فقر ""الحاجة"" وفقر ""النقص"")
من نَفَع عَفَّ، ومن قُطع جَفَّ",NULL,ف
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),حرف الفاء من الأحرف التي تلعب دورًا مهمًا في إيصال المعاني بوضوح ودقة؛ فهو ليس مجرد أداة ربط بل يمتلك تأثيرًا إيقاعيًا ودلاليًا يعزز جمال النصوص وسلاستها، ويُبرز السرعة أو التتابع الزمني بين الأفعال.,"""استيقظ فصلِّ.""
""ضربته فبكى.""
""فَلا تحسَبَنَّ المجدَ زِقًّا وقَينَةً فَما المجدُ إلا السيفُ والرأيُ والأدبُ""",NULL,ف
أثره على الإيحاءات العاطفية والنفسية في السّياق,تمنح الفاء شعورًا بالتوتر أو السرعة في الاستجابة، خصوصًا عند ربط حدثٍ متبوعٍ بردِّ فعل فوري في سياق درامي. يُستدل بها على سرعة الانفعال مما ينعكس على نفسية المتلقّي.,صرخ الطفل فارتجف الجميع!,NULL,ف
التحوّل في معنى الكلمة,لا يؤثر على بنية الكلمة في المعنى .,*,NULL,ق
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يدخل حرف القاف في النفي أو التحذير.,*,NULL,ق
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),لا يتعلق حرف القاف بالتقديم والتأخير.,*,NULL,ق
دوره في التوكيد ( لإبراز المعنى وتقويته ),ليس له دور مستقل في معظم التراكيب.,*,NULL,ق
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),ليس لحرف القاف دور في الإنكار أو الدهشة.,*,NULL,ق
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),"يُعتبر حرف القاف من الأحرف القوية في العربية، ويُستخدم أحيانًا في السجع والجناس لإضفاء نغمة قوية. على سبيل المثال قول الله تعالى: ""قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ * مِن شَرِّ مَا خَلَقَ"".","قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ * مِن شَرِّ مَا خَلَقَ
وَظَنَّ أَنَّهُ ٱلْفِرَاقُ * وَٱلْتَفَّتِ ٱلسَّاقُ بِٱلسَّاقِ",NULL,ق
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),لا دور له,*,NULL,ق
أثره على الإيحاءات العاطفية والنفسية في السّياق,لا يؤدّي حرف القاف دورًا أساسيًا في الإيحاءات العاطفية.,*,NULL,ق
التحوّل في معنى الكلمة,كاف التشبيه: تشير إلى التشبيه عند دخولها على الأسماء كحرف غير أصلي، مثل: كالأرض، كالسماء، كالوَرَقِ.,"كالأرضِ
كالسماءِ
كالوَرَقِ",NULL,ك
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يدخل حرف الكاف في النفي والتحذير، وبالتالي لا يؤدي وظيفة زمنية خاصة.,*,NULL,ك
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),لا يتعلق حرف الكاف بالتقديم والتأخير.,*,NULL,ك
دوره في التوكيد ( لإبراز المعنى وتقويته ),"تُستخدم الكاف أحيانًا لتوكيد المعنى وزيادة قوّته، خصوصًا عند الحديث عن الصفات أو الحالات. مثال: ""كان المعلم كالأب في رعايته للطلاب.""",كان المعلم كالأب في رعايته للطلاب.,NULL,ك
دوره في الإنكار (لإظهار الدهشة والاستغراب),قد ترد في سياقات إنكارية ولكنها لا تتعلق بمعنى الإنكار نفسه.,*,NULL,ك
دوره في التلاعب اللفظي والجناس (السجع - الجناس - التكرار),ليس له دور مباشر في المحسنات البديعية,*,NULL,ك
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),"عند قولنا: ""رأيُك كالشمس في وضوحه!"" نمنح المعنى قوّة التصوير البلاغي أكثر مما لو قلنا ""رأيك واضح"" فقط. بالتالي، يوظّف حرف الكاف للتشبيه والبلاغة.",رأيُك كالشمسِ في وضوحِه!,NULL,ك
أثره على الإيحاءات العاطفية والنفسية في السّياق,ليس له دورًا أساسيًا في الإيحاءات العاطفية.,*,NULL,ك
التحوّل في معنى الكلمة,تُضيف اللام معاني متعددة مثل التوكيد، الاختصاص، أو التعليل. على سبيل المثال، تخصيص الشكر لله وحده أو بيان سبب حدوث الفعل.,"الشكرُ لله وحده (تخصيص)
خرجتُ لِأتمشّى (سبب)",NULL,ل
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),"تدخل اللام في أساليب الطلب والنفي والاستمرارية والتحذير. تُستخدم ""لام الأمر"" في الفعل المضارع لتحويله إلى صيغة الطلب أو الأمر.",ليفعلنَّ (طلب),NULL,ل
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),قد تتقدم اللام على بعض العناصر لإبراز المعنى في الجملة، ما يلفت الانتباه أو يؤكّد دلالة معينة.,لَزيدٌ كريمٌ,NULL,ل
دوره في التوكيد ( لإبراز المعنى وتقويته ),تستعمل اللام في التوكيد كــ اللام المزحلقة ولام القسم، فتزيد المعنى رسوخًا وقوة.,لَعمركَ إنهم لفي سكرتهم يعمهون,NULL,ل
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),قد تستعمل اللام في السياقات الإنكارية.,*,NULL,ل
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),تسهم اللام في تحقيق السجع والجناس في بعض التراكيب البلاغية بفضل جَرْسها الصوتي المميز.,لَقَدْ علمتَ لَئِن أَخرَجْتَهُم لَيَخرُجنَّ,NULL,ل
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),تدخل اللام في أساليب الفصاحة والبيان؛ فتقرّب المعنى للقارئ وتضيف رِقَّة أو جزالة في السياق.,لَنُهدينهم سُبلنا,NULL,ل
أثره على الإيحاءات العاطفية والنفسية في السّياق,تؤثر اللام في السياق العاطفي والنفسي من خلال النبرة والمعنى في الجملة؛ قد تدل على تأكيد أو تمني أو عتاب.,لَوْلا أنتم لَكُنَّا مؤمنين,NULL,ل
التحوّل في معنى الكلمة,"تُضيف الميم معاني متعددة مثل المبالغة، النسبة، أو المصدرية. على سبيل المثال: ""قَدمَ"" → ""مِقدام"" (كثير الإقدام).",قَدمَ = مِقدام,NULL,م
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),"الميم قد تظهر في أدوات أو تراكيب تدل على النفي أو الطلب أو التحذير، كما في ""ما فعلتُ"" للنفي، أو ""أم لم تنتبه"" (تحذير).","ما فعلتُ (نفي)
ما أشجعك!
أم لم تنتبه!",NULL,م
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),قد تتقدم بعض الكلمات التي تبدأ بالميم لإبراز المعنى أو لفت الانتباه، مثل تقديم المبتدأ في جملة اسمية.,مُحسنٌ هو بدلًا من هو مُحسنٌ,NULL,م
دوره في التوكيد ( لإبراز المعنى وتقويته ),"تُستخدم الميم في التوكيد، مثل ""ما"" النافية والمصدرية، لتقوية النفي أو إبراز المعنى.",ما هذا إلا سحرٌ,NULL,م
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),"قد تُستعمل الميم (كالأداة ""ما"") في سياقات إنكارية للتعبير عن الدهشة والاستغراب.",ما أغرب هذا الأمر!,NULL,م
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),تسهم الميم في تحقيق السجع والجناس في بعض التراكيب؛ نظرًا لجَرَسِها الصوتي وانسجامها مع حروف أخرى.,ما مرّ من هنا إلا من مرّ مغلوبًا,NULL,م
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),يمكن أن تدخل الميم في أساليب الفصاحة والبيان، سواء في أدوات الاستفهام أو النفي أو غيرها، فتمنح الكلام وضوحًا وقوة.,مَن يزرع يحصد,NULL,م
أثره على الإيحاءات العاطفية والنفسية في السّياق,تؤثر الميم في السياق العاطفي والنفسي من خلال النبرة والمعنى، مثلًا في أدوات التعجب والنفي القوي.,ما أشدّ حزني اليوم,NULL,م
التحوّل في معنى الكلمة,تؤدي النون عند دخولها على بعض الكلمات إلى تغيير المعنى، مثل نون الجمع والمثنى التي تضيف دلالة العدد.,مهندس = مهندسون (جمع) = مهندسان (تثنية),NULL,ن
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),"تدل نون التوكيد على الاستمرارية والقوة في الفعل، كقولك ""واللهِ لأفعلنَّ"". كذلك نون النسوة تدل على الفاعل المؤنث في المضارع.","والله لأفعلنَّ (نون التوكيد تفيد الإلزام)
ما فعلتُ (نفي)",NULL,ن
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),قد تأتي النون في مواقع مختلفة لتحقيق التوازن الموسيقي أو الإيقاع في الكلام، وأيضًا للتأكيد بنون التوكيد عند تقديم الفعل.,لَنَسْفَعًا بالناصية (تقديم الفعل وتوكيده بنون التوكيد الثقيلة),NULL,ن
دوره في التوكيد ( لإبراز المعنى وتقويته ),تؤدي نون التوكيد الثقيلة والخفيفة دورًا مهمًا في تقوية المعنى، حيث تدل النون الثقيلة على الجزم والإصرار على الفعل.,واللهِ لأكتبنَّ الدرسَ (تفيد التوكيد القوي),NULL,ن
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),قد تدخل النون على الكلمات في سياق الإنكار أو التعجب لزيادة الدلالة على الاستغراب أو الشدة.,أَئِنَّكَ لَأَنتَ يُوسُفُ؟! (النون زادت الاستغراب في السؤال),NULL,ن
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),تدخل النون في التراكيب البلاغية لتمنح الكلام جمالية صوتية عبر السجع أو الجناس أو التكرار.,يرجون رحمةً، يخشون نقمةً (سجع بوجود النون في نهايات الكلمات),NULL,ن
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),النون من الحروف القوية التي تؤثّر على وضوح المعنى خاصة في الأفعال، وتساعد في ضبط الجملة نحويًا وبلاغيًا.,لَيُسْجَنَنَّ وَلَيَكُونًا مِنَ الصَّاغِرِينَ (قوة الفصاحة بالنون),NULL,ن
أثره على الإيحاءات العاطفية والنفسية في السّياق,تؤثر النون على الانفعال والسياق العاطفي، فهي قد تفيد الاستعطاف أو التهديد أو الاستمرار تبعًا لنوع النون وسياقها.,أتحسبنَّ الله غافلًا؟ (توحي بالنبرة التحذيرية),NULL,ن
التحوّل في معنى الكلمة,"قد يؤدي دخول الهاء إلى تغيير المعنى، خصوصًا إذا كانت هاء الضمير أو الترخيم. مثال: إضافة الهاء بعد ""وجه"" جعلته منسوبًا لشيء أو شخص محدد.",وجه (المعنى الأصلي: الجهة) → وجهُهُ (نسبة إلى شخص معيّن),NULL,ه
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),"قد تأتي الهاء في تراكيب تدل على التوكيد والاستمرارية، أو كأداة للطلب أو التحذير، مثل ""مهْ"" (اكفف)، ""إيّاهُ"" (تحذير).","مهْ (أداة طلب)
إيّاهُ (تحذير)",NULL,ه
علاقته في التقديم والتأخير ( وأثر ذلك في المعنى وإثارة الانتباه ),يمكن أن تؤدي الهاء عند تأخيرها أو تقديمها إلى تغيير تركيبي يلفت الانتباه أو يبرز معنى معين.,"هو الحق (تقديم)
الحق هو (تأخير)",NULL,ه
دوره في التوكيد ( لإبراز المعنى وتقويته ),"تظهر في ضمائر الغائب غالبًا، مما يقوي ارتباط المعنى بالفاعل أو المفعول به، مثل ""إنّهُ الحقّ"".","إنّهُ الحقّ (توكيد)
إيّاهُ نعبد (توكيد الفعل)",NULL,ه
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),"قد تأتي الهاء في تراكيب تُستخدم للتعجب أو الدهشة، مثل ""ويحهُ!"" أو ""واهاً له"".","ويحهُ!
واهاً له",NULL,ه
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),تدخل الهاء في بعض التراكيب التي تحقق التكرار والجناس لإضفاء إيقاع لغوي، مثل آيات القرآن الكريم التي تنتهي بالهاء.,﴿ إِنَّ إِلَيْنَآ إِيَابَهُمْ * ثُمَّ إِنَّ عَلَيْنَا حِسَابَهُمْ ﴾,NULL,ه
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),يساعد وجود الهاء في بعض المواقع على تحسين الفصاحة والوضوح في الجملة، خاصة عند الإشارة إلى ضمير الغائب.,إنهُ الله لا إله إلا هو (توكيد الفاعل),NULL,ه
أثره على الإيحاءات العاطفية والنفسية في السّياق,"قد تضفي الهاء إحساسًا عاطفيًا عند إضافتها لبعض الكلمات أو الضمائر، مثل ""ويحَهُ"" (إيحاء بالشفقة والأسى).",ويحَهُ، آهٍ له (إيحاء بالحزن),NULL,ه
التحوّل في معنى الكلمة,لا يؤثر,*,NULL,و
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يؤثر,*,NULL,و
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),لا يؤثر,*,NULL,و
دوره في التوكيد ( لإبراز المعنى وتقويته ),لا يؤثر,*,NULL,و
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),لا يؤثر,*,NULL,و
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),لا يؤثر,*,NULL,و
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),لا يؤثر,*,NULL,و
أثره على الإيحاءات العاطفية والنفسية في السّياق,لا يؤثر,*,NULL,و
التحوّل في معنى الكلمة,عند إضافة حرف الياء إلى بعض الكلمات في اللغة العربية، يحدث تحول دلالي يؤثر على معناها، والزيادة قد تؤدي إلى تغيير في المعنى من حيث النسبة، التصغير، التحبيب، التوكيد، أو تحويل الاسم إلى صفة. فمثلا النسبة عند إضافة الياء إلى بعض الكلمات، تتحول إلى صيغة النسبة، مثل: عرب → عربي (أي منسوب إلى العرب) إسلام → إسلامي (منسوب إلى الإسلام) علم → علمي (منسوب إلى العلم) ويمكن أن تؤدي زيادة الياء إلى تصغير أو تحبيب المعنى: أسد → أسيْد (تصغير بمعنى صغير الأسد أو تدليل الاسم) وفي بعض الكلمات، تتحول الأسماء إلى صفات عند إضافة الياء: شعر → شعري (أي متعلق بالشعر) دم → دموي (مرتبط بالدم أو القتل) ملك → ملكي (مرتبط بالملكية أو الملوك) وأحيانًا، تؤدي إضافة الياء إلى توكيد المعنى أو تغييره بشكل طفيف: خير → خيري (يدل على العمل الخيّر أو الشخص الذي يميل إلى الخير) شر → شري (نادر الاستخدام) وأحيانًا يضاف حرف الياء لتحويل الفعل أو الاسم إلى صيغة جديدة ذات معنى مختلف: هوى → هوائي (من الهواء أو متعلق به) يد → يدي (عند الإضافة إلى ضمير المتكلم).,"عَرَب - عَرَبيّ
إِسْلام- إسْلاميّ
عِلْم - عِلْمِيّ
أَسَد - أُسَيْد
شِعر - شِعْرِيّ
دَمْ - دَمَويّ
مَلِك - مَلَكيّ
خَيْر - خَيْرِيّ
شَر - شَرِيّ
هَوَى - هَوَائِيّ
يَدّ - يَديّ",NULL,ي
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),تؤثر زيادة حرف الياء في بعض الأفعال على دلالة الزمن، فتُحدث تحوّلات في المعنى تتعلق بـ الطلب، النفي، الاستمرارية، والتحذير، وذلك بحسب السياق الصرفي والنحوي للجملة. الياء في الأمر والدعاء: تأتي مع فعل الأمر للمؤنث، فعند زيادة الياء في بعض الصيغ، قد تتحول الجملة إلى صيغة الطلب أو الدعاء، مثل: اصطفِ ← اصطَفِي، اهتدِ ← اهتدِي. أما عن النفي فزيادة الياء قد تُستخدم مع النفي في بعض اللهجات أو الأساليب البلاغية، مثل: لم يسعَ ← لم يسعِي (للتوكيد أو التفنن في الأسلوب). وبالنسبة للاستمرارية فزيادة الياء قد تدل على الاستمرار في الفعل، خاصة في الأساليب الأدبية أو اللهجات الدارجة، مثل: يمضي (يستمر في المضي) يسري (يستمر في السير أو الانتشار). وقد تأتي في سياق التنبيه أو التحذير، كما في: إياك أن تثنِيَ العزيمة! لا تغويَنَّ بالباطل!,"اصْطَفِ - اصْطَفِي
اهْتدِ - اهْتَدِي
لَمْ يَسع → لَم يَسعِي
لا تَخْشَ - لا تَخْشَي
يَمْضِي، يَسْرِي
إيَّاك أنْ تثنِيَ العَزيمَة!
لا تَغْويَنَّ بالبَاطِل",NULL,ي
علاقته في التقديم والتأخير ( وأثر ذلك في المعنى وإثارة الانتباه ),"حرف الياء في اللغة العربية يُستخدم غالبًا كضمير متصل يدل على المتكلم، أو كحرف مد، أو أحيانًا لزيادة الجرس الموسيقي في بعض التراكيب. عند التقديم والتأخير، قد يؤدي تقديم أو تأخير الكلمة التي تحتوي على ياء المتكلم إلى تغيير المعنى أو إبراز دلالة معينة. مثال: ""كتابي قرأتُ"" (تركيز على الكتاب) مقابل ""قرأتُ كتابي"" (تركيز على فعل القراءة). كما أن تقديم الكلمة التي تحتوي على الياء قد يلفت الانتباه إليها أكثر، خاصة في الأساليب البلاغية أو الشعرية، مثل: ""إليَّ أنظرْ"" (توكيد وجذب الانتباه) مقابل ""أنظر إليّ"" (تركيب عادي).","كِتَابي قَرَأتُ - قَرَأتُ كِتَابِي
إليَّ أنْظرْ - أنْظرْ إليّ",NULL,ي
دوره في التوكيد ( لإبراز المعنى وتقويته ),"تلعب الياء دورًا مهمًا في تقوية المعنى وإبراز العاطفة وتوكيد المشاعر في العربية، سواء في النداء، أو التصغير، أو الأساليب البلاغية. على سبيل المثال، في النداء: يا ليلُ يا عينُ، حيث يُكرَّر حرف النداء مع الياء لإضفاء الإلحاح والعاطفة. وفي التصغير: يا أخيّ، اصبرْ؛ حيث استخدام التصغير ""أخيّ"" مع الياء يعزز العاطفة والودّ. وفي أسماء مثل ربّي، أمّي، أبي، تضفي الياء مزيدًا من الحميمية والتوكيد على العلاقة.","يا لَيلُ يا عَينُ
يا أخيّ، اصْبرْ
رَبّي، أُمّي، أَبي
وا مُصِيبَتَاه! يا للكَارثة",NULL,ي
